input,output
I never thought it'd be this hard to find an appropriate birthday gift for Tom.,Nunca pensé que sería tan difícil encontrar un regalo apropiado para Tom.
I realize the effort you have put into this project and I really appreciate it.,"Me doy cuenta del esfuerzo que has invertido en este proyecto, y realmente lo aprecio."
I realize the effort you have put into this project and I really appreciate it.,Me doy cuenta del esfuerzo que han puesto en este proyecto y realmente lo aprecio.
I realized that I didn't want to spend any more time dealing with that problem.,Me di cuenta de que no quería pasar ni un sólo momento más manejando ese problema.
"I remember it as if it were yesterday, but in reality it was fifteen years ago.","Lo recuerdo como si fuera ayer, pero en realidad fue hace quince años."
"I returned the books I borrowed from the library, and I borrowed some new ones.",Devolví los libros que había sacado de la biblioteca y me llevé prestados otros nuevos.
"I tried to do my homework, but I didn't really know how to do it, so I gave up.","Intenté hacer mis deberes, pero no sabía cómo hacerlos, así que me rendí."
I'll get in touch with Tom by telephone tomorrow and ask him to give us a hand.,Mañana me pondré en contacto con Tom y le pediré que nos eche una mano.
I'll get in touch with Tom by telephone tomorrow and ask him to give us a hand.,Me pondré en contacto con Tom por teléfono mañana y le pediré que nos dé una mano.
I'm convinced there are few people in this world who cook as well as Mary does.,Estoy seguro de que poca gente en el mundo cocina tan bien como Mary.
I'm sure you're aware that you'll be the only one there who can't speak French.,Estoy seguro de que eres consciente de que serás el único allí que no sepa hablar francés.
"If I'd brushed my teeth more often when I was a kid, I'd have better teeth now.","Si me hubiese cepillado los dientes con más frecuencia cuando era niño, ahora tendría una dentadura mejor."
"If I'd brushed my teeth more often when I was a kid, I'd have better teeth now.","Si me hubiese cepillado los dientes con más frecuencia cuando era niño, ahora los tendría mejor."
"If she had not studied English here, she could not have passed the examination.","Si ella no hubiera estudiado inglés aquí, no habría pasado el examen."
"If you happen to hear of anybody that wants to buy a house, please let me know.","Si escuchas que alguien quiere comprar una casa, dímelo, por favor."
"If you happen to hear of anybody that wants to buy a house, please let me know.","Si por casualidad oyes de alguien que quiera comprar una casa, por favor avísame."
Improved medical technology has been one of the spin-offs of the space program.,Tecnologías médicas mejoradas han sido uno de los resultados del programa espacial.
"In spite of his tight schedule, Tom always has time to spend with his children.","A pesar de su apretada agenda, Tom siempre tiene tiempo para pasar con sus hijos."
It doesn't matter whether the cat is black or white as long as it catches mice.,"Da lo mismo que el gato sea negro o blanco, siempre que cace ratones."
It is said that global warming is directly related to carbon dioxide emissions.,Se dice que el calentamiento global está directamente relacionado con las emisiones de dióxido de carbono.
"It's OK with me if we barbecue, but I don't like it when smoke gets in my eyes.","Me parece bien si hacemos una barbacoa, pero no me gusta cuando el humo se mete en mis ojos."
"It's a very dangerous sport, where a slight mistake can lead to serious injury.","Es un deporte muy peligroso, donde un leve error puede conducir a serias lesiones."
It's only when I can't sleep at night that the ticking of the clock bothers me.,Es sólo cuando no puedo dormir por la noche que el tic-tac del reloj me molesta.
Keep your eyes on Tom. Make sure he doesn't do anything to bother other people.,Mantén vigilado a Tom. Cerciórate de que no hace nada para molestar a otras personas.
Many people don't know that antibiotics are ineffective against viral diseases.,Mucha gente no sabe que los antibióticos son ineficaces contra las enfermedades virales.
Mary sat on the beach thinking about all the happy times she'd shared with Tom.,Mary se sentó en la playa pensando en todos los momentos felices que había compartido con Tom.
Maybe today you can give us a couple of tips about how to use the dictionaries.,Quizás hoy podrías darnos un par de consejos sobre cómo utilizar los diccionarios.
"My usual drink is apple juice with mineral water, but I also like orange juice.","Mi bebida habitual es zumo de manzana con agua mineral, pero el zumo de naranja también me gusta."
"On behalf of the company, I would like to express our hearty thanks to you all.",Quisiera expresar por toda la compañía nuestras profundas gracias a todos.
Our children are anxious to have bicycles like those of the children next door.,Nuestros niños se mueren de ganas de tener bicicletas como las de los niños de al lado.
Scientists will come up with new methods of increasing the world's food supply.,Los científicos idearán nuevos métodos para incrementar el suministro de comida mundial.
"Since you don't have anything to do, why not come fishing with me this weekend?","Si no tienes nada que hacer, ¿Por qué no vienes conmigo a pescar este fin de semana?"
The battery indicator light is showing that the battery is not getting charged.,El testigo de la batería indica que la batería no está cargándose.
"The bishop felt pity for the immigrants who were abandoned, and gave them help.","El obispo sintió lástima por los inmigrantes que fueron abandonados, y les brindó ayuda."
The committee called on all nations to work side-by-side to curb air pollution.,El comité llamó a todas las naciones para trabajar juntos para frenar la polución del aire.
The down jacket that I bought yesterday cost me a lot less than I had expected.,La chaqueta de plumas que compré ayer me costó bastante menos de lo que esperaba.
"The little girl, deeply moved by the old man's pitiful story, burst into tears.","La niña pequeña, profundamente conmovida por la triste historia del viejo, estalló en lágrimas."
"The plane exploded and plunged into the ocean, killing all the people on board.","El avión explotó y se hundió en el océano, matando a todas las personas que iban a bordo."
"The seven deadly sins are: pride, envy, greed, anger, lust, gluttony and sloth.","Los siete pecados capitales son: soberbia, envidia, codicia, ira, lujuria, gula y pereza."
The telephone operator asked the caller to hold on until a connection was made.,La operadora pidió al que llamaba que esperase a que se estableciera una conexión.
"The whole company stood in silence for a few moments, as a tribute to the dead.",La compañía entera guardó silencio por unos momentos en tributo al muerto.
"There are many, many planets in the Milky Way which are just as big as Jupiter.",Hay muchísimos planetas del porte de Júpiter en la Vía Láctea.
"They say you shouldn't take rumors seriously, but that's easier said than done.","Dicen que no se deberían tomar los rumores en serio, pero eso es más fácil decirlo que hacerlo."
Those birds build their nests in the summer and fly to the south in the winter.,Esos pájaros construyen sus nidos en verano y vuelan al sur en invierno.
Tom admitted that he didn't eat the cake that his girlfriend had baked for him.,Tom admitió que no se comió la torta que su polola le había horneado.
Tom apologized to the families of the victims for the explosion at the factory.,Tom pidió perdón a las familias de las víctimas por la explosión de la fábrica.
Tom broke his right leg and was taken to hospital a few weeks before Christmas.,Tom se rompió la pierna y fue llevado al hospital una pocas semanas antes de Navidad.
Tom broke his right leg and was taken to hospital a few weeks before Christmas.,Tom se rompió la pierna derecha y fue llevado al hospital unas semanas antes de Navidad.
Tom called Mary to tell her that he might need her help later in the afternoon.,Tom llamó a Mary para decirle que podría necesitar su ayuda después esa tarde.
Tom continued reading the newspaper even though the burglar alarm had gone off.,Tom siguió leyendo el periódico aún cuando había sonado la alarma de robos.
Tom didn't like living in the city and moved back to the farm where he grew up.,"A Tom no le gustaba vivir en la ciudad, así que se mudó de vuelta a la granja donde creció."
Tom emptied the water out of the bottle before he refilled it with fresh water.,Tom vació el agua de la botella antes de rellenarla con agua fresca.
Tom feels a little better after taking the medicine that the doctor prescribed.,Tom se siente un poco mejor después de tomar la medicina que le prescribió el doctor.
Tom is going to go to prison for a crime he didn't commit if you don't confess.,Tom va a ir a la cárcel por un crimen que no cometió si vos no confesás.
"Tom isn't the only one who has to study really hard. I have to study hard, too.",No es sólo Tom quien debe estudiar muy bien. Yo también tengo que.
Tom posted a video of himself singing and dancing on YouTube and it went viral.,"Tom subió a Youtube un video de sí mismo bailando y cantando, y rápidamente ganó popularidad."
"Tom pulled into his garage, turned off the engine, and then got out of the car.","Tom entró a la cochera, apagó el motor y luego se bajó del auto."
Tom said that he needed to give Mary one more warning before he could fire her.,Tom dijo que tenía que darle a Mary un aviso más antes de que pudiera despedirla.
Tom seemed quite surprised when he heard that Mary and John had gotten married.,Tom pareció bastante sorprendido cuando oyó que Mary y John se habían casado.
"Tom thought that Mary wanted him to kiss her, but he wasn't sure, so he didn't.","Tom pensó que Mary quería que la besara, pero él no estaba seguro, así que no lo hizo."
Tom told Mary that he thought it wouldn't be good if she went there by herself.,Tom le dijo a Mary que pensaba que no sería bueno que ella fuera allí sola.
"Tom tried to tickle Mary, but found out she was much less ticklish than he was.","Tom trató de hacerle cosquillas a Mary, pero descubrió que era mucho menos cosquillosa que él."
"Tom wanted Mary to pose in the nude for his painting, but she refused to do so.","Tom quería que Mary pose desnuda para su pintura, pero ella se negó a hacerlo."
"When coughing or sneezing, cover your mouth with your sleeve or a handkerchief.","Al toser o estornudar, cúbrete la boca con la manga o con un pañuelo."
"When coughing or sneezing, cover your mouth with your sleeve or a handkerchief.","Al toser o estornudar, cúbrase la boca con la manga o con un pañuelo."
"When my uncle left for America, many people came to see him off at the airport.","Cuando mi tío se fue para Estados Unidos, mucha gente fue a despedirlo al aeropuerto."
"Where are you going in such a hurry? We've got plenty of time, so drive safely.","¿Adónde vas con tanta prisa? Tenemos un montón de tiempo, así que maneja con seguridad."
Why did you tell me that Tom lives in Boston when he actually lives in Chicago?,¿Por qué me dijiste que Tom vive en Boston cuando realmente vive en Chicago?
"Wow, this brings back memories. This is a picture of when I was five years old.",¡Guau! Esto me trae recuerdos. Es la foto de cuando tenía cinco años.
You can't park in a handicapped parking space unless you have a special permit.,No puedes aparcar en una plaza de aparcamiento para discapacitados a no ser que poseas un permiso especial.
"Tom and Mary have been divorced for over three years. ""Really? I had no idea.""","Tom y Mary han estado divorciados por más de tres años. ""¿En serio? No lo sabía."""
All Tom wanted was to find a woman who would accept all the love he had to give.,Lo único que Tom deseaba era encontrar a una mujer que aceptara todo el amor que él estaba dispuesto a ofrecer.
"By second grade, students are expected to have basic reading and writing skills.","En segundo grado, se espera que los estudiantes tengan habilidades básicas de lectura y escritura."
"Each year, twenty-seven million acres of the tropical rainforests are destroyed.","Cada año, veintisiete millones de acres de los bosques tropicales son destruidos."
"Even when she thought about something else, ideas of death returned to her mind.","Aún cuando ella pensaba sobre otra cosa, las ideas de la muerte volvían a su mente."
"Every butterfly was a caterpillar, but not all caterpillars will be butterflies.","Toda mariposa fue oruga, pero no todas las orugas serán mariposas."
"Every time Tom and Mary were about to kiss, someone came suddenly into the room.",Cada vez que Tom y María estaban a punto de besarse entraba de pronto alguien a la habitación.
"Figaro invited us to his wedding, but when we arrived everyone had already left.","Figaro nos invitó a su boda, pero cuando llegamos, todos ya se habían ido."
"For children up to 5 years old, family breakdown can be difficult to understand.","Para los niños de hasta 5 años de edad, la ruptura de la familia puede ser difícil de entender."
He believed that blacks could win their fight for equal rights without violence.,Él creía que los negros podían ganar sin violencia la lucha por derechos igualitarios.
How long are you going to keep whimpering about that? You can't change the past.,¿Por cuánto tiempo vas a continuar lamentándote acerca de eso? No puedes cambiar el pasado.
How much time and energy do you spend on projects that don't make you any money?,¿Cuánto tiempo y energía dedicas a los proyectos que no te dan dinero?
I am sorry to write such a long letter. I didn't have time to write a short one.,Lamento escribir una carta tan larga. No tenía tiempo para escribir una más corta.
I find just the memory of his overly polite patronizing manner really offensive.,Encuentro realmente ofensivo incluso el recuerdo de su forma demasiado cortés de condescender.
I'm really anxious to know what my parents are going to give me for my birthday.,Estoy muy ansioso por saber lo que me van a regalar mis padres para mi cumpleaños.
I've heard that it is best to always feed your dog at a specific time every day.,He oído que es mejor siempre alimentar a tu perro a una hora específica todos los días.
"In all my travels, I've never seen a more beautiful mountain than Mount Everest.","En todos mis viajes, nunca he visto una montaña más hermosa que el monte Everest."
"In the U.S., freedom of religion is one of the guarantees of the Bill of Rights.","En EEUU, la libertad de culto es una de las garantías de la Carta de Derechos."
Keosuvanh said the floodwaters destroyed 95 percent of the homes in the village.,Keosuvanh dijo que la inundación destruyó el 95 porciento de las casas del pueblo.
Last century they would have just thrown someone like Tom into a lunatic asylum.,Deberían haber metido a alguien como Tom en un psiquiátrico el siglo pasado.
She got so carried away when arguing with her husband that she burst into tears.,Cuando discutía con su marido se puso tan nerviosa que rompió a llorar.
She is looking for a job where she can make use of her foreign language ability.,Ella está buscando un trabajo donde pueda hacer uso de su capacidad con los idiomas extranjeros.
Some people say that French is one of the most beautiful languages in the world.,Algunos dicen que el francés es uno de los idiomas más lindos del mundo.
Some speculators take advantage of the ignorance and helplessness of old people.,Algunos especuladores se aprovechan de la ignorancia y el desamparo de los ancianos.
"The author is seventy, but he's no less productive than he was twenty years ago.","El autor tiene setenta años, pero no es menos productivo que cuando tenía veinte años menos."
The bacteria that are transferred during a kiss help improve your immune system.,Las bacterias transferidas durante un beso ayudan a fortalecer el sistema inmune.
The desire to fly in the sky like a bird inspired the invention of the airplane.,El deseo de volar como un pájaro inspiró la invención del avión.
"The more unique each person is, the more he contributes to the wisdom of others.","Cuanto más única es una persona, más contribuye a la sabiduría de los otros."
"To remove a sentence from your list of favorites, click on the black heart icon.","Para eliminar una frase de su lista de favoritos, haga clic en el icono de corazón negro."
Today's performance of the ABC Symphony Orchestra fell short of my expectations.,La interpretación de hoy de la orquesta sinfónica ABC no estuvo a la altura de mis expectativas.
Tom always speaks in such a low voice that I can barely understand what he says.,Tom siempre habla en voz tan baja que apenas le entiendo lo que dice.
Tom hasn't yet heard anything definite about whether he got into Harvard or not.,Tom aún no ha oído nada definitivo acerca de si acaso él quedó o no en Harvard.
"Tom held his hand out, hoping that the man would give him a piece of candy, too.","Tom le extendió la mano, esperando que el hombre también le diera una golosina."
Tom is having trouble dealing with the fact that his father was a mass murderer.,Tom tiene problemas para acostumbrarse a la idea de que su padre fue el autor de una masacre.
"Tom isn't the only one that has to study really hard. I have to study hard, too.",No es sólo Tom quien debe estudiar muy bien. Yo también tengo que.
Tom managed to escape from the room where his kidnappers had kept him locked up.,Tom logró escapar de la habitación donde sus secuestradores lo tenían encerrado.
Tom nearly had a heart attack when he saw Mary standing on the edge of the roof.,Tom casi tuvo un infarto cuando vio a Mary parada al borde del techo.
Tom was already drinking his third beer before Mary had even finished her first.,Tom ya estaba tomando su tercera cerveza antes de que Mary siquiera hubiera terminado la primera.
"Tom was going to be transferred to Boston, but they decided to fire him instead.","Tom iba a ser transferido a Boston, pero en vez de eso decidieron despedirlo."
Tom was holding a short piece of pipe in his left hand and a knife in his right.,Tom sostenía un trozo corto de tubo en la mano izquierda y un cuchillo en la derecha.
What surprises me is that they can actually sell that product for so much money.,Lo que me sorprende es que realmente puedan vender ese producto por tanto dinero.
When I was small I was one of the few boys on the street who didn't like soccer.,De pequeño yo era uno de los pocos chicos de la calle al que no le gustaba el fútbol.
When was the last time you used benzodiazepines that were not prescribed to you?,¿Cuándo fue la última vez que consumiste benzodiacepinas que no te hubieran prescrito?
"While you are asleep, the bodily functions slow down and body temperature falls.","Al dormir, las funciones corporales trabajan más lento y la temperatura corporal disminuye."
You should spend less time complaining and more time doing something productive.,Deberías pasar menos tiempo quejándote y más haciendo algo productivo.
You're the only person I know besides myself who doesn't like watching baseball.,"Eres la única persona que conozco, aparte de mí mismo, a la que no le gusta ver béisbol."
Anyone who can only think of one way to spell a word obviously lacks imagination.,Aquél al que sólo se le ocurra una forma de escribir una palabra obviamente no tiene imaginación.
"By postponing what you have to do, you run the risk of never being able to do it.","Al dejar para más tarde lo que hay que hacer, se corre el riesgo de no poder hacerlo nunca."
"By the time Tom realized what was going on, the police had already arrested Mary.","Para cuando Tom se dio cuenta de lo que estaba sucediendo, la policía ya había arrestado a Mary."
Do you think your parents spent enough time with you when you were in your teens?,¿Piensas que tus padres pasaron suficiente tiempo contigo durante tu adolescencia?
Every now and then he drops in at this bookstore on his way home from the office.,De vez en cuando él pasa por esa tienda de libros en su camino a casa de la oficina.
Experts have failed to come up with an explanation of why the explosion happened.,Los expertos no han logrado llegar a una explicación de por qué ocurrió la explosión.
"Five hundred soldiers were sent to the city, and less than half of them survived.","Quinientos soldados fueron enviados a la ciudad, sobreviviendo menos de la mitad de ellos."
He risked his life to carry out his duty and inspired police officers everywhere.,Arriesgó su vida para cumplir con su deber e inspiró a oficiales de policía de todas partes.
I can't keep track of all the changes taking place in the world of AIDS research.,No puedo seguir la pista de todos los cambios que se están dando en el mundo de la investigación del SIDA.
I couldn't but sympathize with the girl who had lost her parents in the accident.,No pude más que compadecer a la chica que había perdido a sus padres en el accidente.
"I didn't know the city, and what's more, I couldn't speak a word of the language.","No conocía la ciudad, y lo que es peor, no sabía decir ni una palabra del idioma."
"I don't know if it will be fine tomorrow, but if it is fine we'll go on a picnic.","No sé si hará buen tiempo mañana, pero si hay buen tiempo vamos de picnic."
I have to be honest. I was a little bit nervous the first time I had an MRI scan.,Tengo que ser sincero: estaba un poco nervioso la primera vez que me hicieron una resonancia.
"I might tell you the answers later, but try to figure them out on your own first.","Quizá te diga las respuestas más tarde, pero antes trata de encontrarlas tú mismo."
I think I can speak French well enough to say pretty much anything I want to say.,Creo que puedo hablar francés lo suficientemente bien como para decir casi todo lo que quiero decir.
I think that for many people learning the trigonometric functions is meaningless.,Creo que para muchas personas no tiene sentido aprender las funciones trigonométricas.
I think that it might be dangerous for Tom and me to go skin diving by ourselves.,Creo que podría ser peligroso para Tom y para mí bucear solos.
I think you can't understand that feeling unless you're from the same generation.,Pienso que no puedes entender ese sentimiento a menos que seas de la misma generación.
I'm a regular at a restaurant in this neighborhood. Let's have lunch there today.,Soy un cliente habitual en un restaurante en este barrio. Vamos a comer hoy ahí.
I'm beginning to understand why you don't bother to try to explain things to Tom.,Estoy empezando a entender por qué no te molestas en explicarle las cosas a Tom.
"I've got five different dictionaries on the shelf, but I always use the same one.","Tengo cinco diccionarios distintos en la estantería, pero siempre uso el mismo."
I've had a slight sore throat since this morning. I wonder if I've caught a cold.,"Estoy con un ligero dolor de garganta desde esta mañana, me pregunto si me habré resfriado."
"If we wait for thirty minutes before leaving, we can avoid the rush hour traffic.","Si esperamos a irnos treinta minutos, podemos evitar el tráfico de la hora punta."
"If you spoke less and listened more, you'd definitely be able to learn something.","Si hablases menos y escuchases más, definitivamente serías capaz de aprender algo."
It is better to be a coward for five minutes than dead for the rest of your life.,Más vale ser un cobarde durante cinco minutos que estar muerto por el resto de tu vida.
It's doubtful that Tom will still be alive when his children get to the hospital.,Es dudoso que Tom todavía siga con vida cuando sus hijos lleguen al hospital.
Life is ten percent what happens to you and ninety percent how you respond to it.,La vida es diez por ciento lo que te pasa y noventa por ciento cómo tú respondes a eso.
Many countries have passed laws to prohibit people from smoking in public places.,Muchos países han aprobado leyes prohibiendo a la gente fumar en lugares públicos.
"More than 30,000 people braved the rain and cold to attend the Canada Day parade.",Más de 30.000 personas soportaron la lluvia y el frío para esperar el desfile del día de Canadá.
"On appeal, Tom claimed that his original guilty plea was coerced and involuntary.","En la apelación, Tom afirmó que su declaración original de culpabilidad fue coaccionada e involuntaria."
"Since I'm not so good at swimming, I avoid swimming in water that's over my head.","Como no soy bueno nadando, evito sumergirme por sobre la cabeza."
"Since I'm not so good at swimming, I avoid swimming in water that's over my head.","Como no nado muy bien, evito bañarme donde no hago pie."
"Some incidents from my childhood are crystal clear, others are just a dim memory.","Algunos incidentes de mi infancia son claros, otros son sólo un tenue recuerdo."
The ages of the two children put together was equivalent to that of their father.,"Juntas, las edades de los dos niños equivalían a la edad de su padre."
The average American living space is twice as large as the living space in Japan.,La media del espacio vital en América es el doble que la media de espacio vital en Japón.
The band of Indians were ready to go on the warpath at the slightest provocation.,La banda de indios estaba lista para empezar la guerra a la menor provocación.
The coach called off the game because many of the players were down with the flu.,El entrenador suspendió el partido porque muchos de los jugadores estaban de baja con la gripe.
The family took a vote on the type of restaurant they wanted to go to for dinner.,La familia votó por el tipo de restaurante al que querían ir a cenar.
"The following year, Portugal granted independence to all of its African colonies.","Al año siguiente, Portugal concedió la independencia a todas sus colonias africanas."
The man who she knew was wanted by the police suddenly appeared at the back door.,El hombre que ella sabía estaba buscado por la policía apareció de repente por la puerta de atrás.
The millionaire insisted on acquiring the masterpiece no matter how much it cost.,El millonario insistió en adquirir la obra maestra sin importar cuanto costara.
"The pay was good, and that was their only motivation to participate in the study.","La paga era buena, y esa era su única motivación para participar en el estudio."
"The police thought the victim was Tom, but they were unable to identify the body.","La policía pensó que la víctima era Tom, pero no fueron capaces de identificar el cuerpo."
The radio warned us of the coming earthquake and we started gathering our things.,La radio nos advirtió que viene el terremoto y empezamos a juntar nuestras cosas.
The rights of every man are diminished when the rights of one man are threatened.,Los derechos de cada hombre disminuyen cuando se amenazan los derechos de un hombre.
There are big differences in broadband speed and quality from country to country.,Hay grandes diferencias en la velocidad y calidad de ancho de banda entre país y país.
There were some men eating their lunches under the trees in front of the library.,Había algunos hombres almorzando bajo los árboles frente a la biblioteca.
"This dictionary, of which the third volume is missing, cost me a hundred dollars.","Este diccionario, del cual falta el tercer tomo, me costó cien dólares."
"To the man who only has a hammer in the toolkit, every problem looks like a nail.","Para el hombre que solo tiene un martillo en su caja de herramientas, todos los problemas parecen clavos."
Tom and Mary were snuggled up together watching TV when John knocked on the door.,Tom y Mary estaban acurrucados mirando la TV cuando John golpeó la puerta.
Tom asked Mary to tell him about the house she had lived in when she was a child.,Tom le pidió a Mary que le hablara de la casa en la que vivía cuando era niña.
"Tom calculated that he had given Mary over 34,000 dollars in the past six months.",Tom calculó que había dado a Mary sobre 34.000 dólares en los últimos seis meses.
Tom could have paid for Mary's ticket if he'd known she didn't have enough money.,Tom podía haber pagado la entrada de María si hubiera sabido que no tenía suficiente dinero.
Tom didn't need to paint the fence. They tore it down a week after he painted it.,Tom no tenía para qué haber pintado la cerca. Ellos la echaron abajo una semana después de que la pintara.
"Tom followed Mary into the kitchen, picked up a knife and threatened her with it.","Tom siguió a María hasta la cocina, tomó un cuchillo y la amenazó con él."
Tom looked very bedraggled after being caught in a heavy downpour during his run.,Tom se veía muy despeinado después de ser cogido por un fuerte aguacero durante su carrera.
Tom looked very bedraggled after being caught in a heavy downpour during his run.,Tom se veía muy zarrapastroso después de ser atrapado por un fuerte aguacero durante su carrera.
Tom thought the teacher had given him way too much homework to finish in one day.,Tom pensaba que el profesor le había mandado demasiados deberes para hacer en un día.
Tom thought the teacher had given him way too much homework to finish in one day.,Tom pensaba que el profesor se había pasado con los deberes que le había mandado hacer en un solo día.
What scared Tom the most was the thought that he might not be able to walk again.,Lo que más le asustaba a Tom era la idea de que tal vez no pudiera volver a caminar otra vez.
"When I saw his mother yesterday, she said he had left the hospital a week before.","Cuando vi a su madre ayer, dijo que él había dejado el hospital una semana antes."
"How did Tom get in here? ""He came in through the window that you left unlocked.""","¿Cómo entró Tom aquí? ""Entró por la ventana que olvidaste cerrar con llave."""
"How did Tom get in here? ""He came in through the window that you left unlocked.""","¿Cómo entró Tom aquí? ""Entró por la ventana que dejaste abierta."""
"As is often the case with young men, he does not pay much attention to his health.","Como es frecuente en los hombres jóvenes, él no presta mucha atención a su salud."
"Discovered and claimed for Spain in 1499, Aruba was acquired by the Dutch in 1636.","Descubierta y reclamada por España en 1499, Aruba fue adquirida por los holandeses en 1636."
"Even though her vet told her not to, she continued to feed her dog raw vegetables.","Aunque su veterinario le dijo que no, ella continuó dando de comer a su perro verduras crudas."
He would still be alive if he had been wearing his seat belt when the car crashed.,Él todavía estaría vivo si hubiera usado el cinturón de seguridad en el accidente automovilístico.
How did people sharpen their pencils before the invention of the pencil sharpener?,¿Cómo se afilaban los lápices antes de la invención del sacapuntas?
"I made this gratin using yesterday's leftovers. It tastes pretty good, doesn't it?","Hice un gratinado usando las sobras de ayer. Sabe bastante bien, ¿no?"
"I may not know a lot, but I do know that Tom doesn't know what he's talking about.","Puede que no sepa mucho, pero sí sé que Tom no sabe de lo que está hablando."
I met an old man who says that he's never eaten at a restaurant in his whole life.,Conocí a un anciano que dice que nunca ha comido en un restaurante en su vida entera.
I never for a moment imagined I'd be able to afford to live in such a fancy house.,Nunca me imaginé ni por un momento que yo podría costearme el vivir en una casa tan elegante.
I wish I could figure out how to get my car painted without paying a lot of money.,Ojalá hallara una forma de tener pintado el coche sin gastarme mucho dinero.
I'd rather not waste my time trying to learn a language that I don't need to know.,Prefiero no malgastar el tiempo intentando aprender una lengua que no necesito saber.
I'm beginning to believe that we'll never be able to convince Tom that he's wrong.,Estoy empezando a creer que nunca seremos capaces de convencer a Tom de que se equivoca.
"If I can get into university, I am hoping to learn to speak two foreign languages.","Si puedo entrar en la universidad, espero aprender a hablar dos lenguas extranjeras."
"If you keep fish in a fish bowl, you should change the water at least once a week.","Si tienes peces en una pecera, deberías cambiarle el agua al menos una vez por semana."
"If you listen to English programs on the radio, you can learn English for nothing.",Si escuchas programas en inglés en la radio puedes aprender inglés gratis.
In order to qualify for the homestay you must have an interview with the sponsors.,"Con el fin de calificar para el intercambio cultural, usted debe tener una entrevista con los patrocinadores."
It's no wonder Tom's sleeping poorly; he drinks up to twelve cups of coffee a day.,No es de extrañar que Tom duerma mal; él bebe hasta doce tazas de café al día.
Japan's foreign aid is decreasing in part because of an economic slowdown at home.,La ayuda extranjera a Japón está disminuyendo en parte debido a una desaceleración económica en casa.
Studies have revealed that the average keyboard has more germs than a toilet seat.,Estudios han revelado que el teclado promedio tiene más gérmenes que un asiento de inodoro.
The mayor of this city was blamed for turning a deaf ear to the people's requests.,El alcalde de esta ciudad fue culpado de hacer oídos sordos a las demandas de las personas.
The mayor of this city was blamed for turning a deaf ear to the people's requests.,Se culpó al alcalde de esta ciudad de hacer oídos sordos a las peticiones de la gente.
The policeman said that it looked like a self-inflicted gunshot wound to the head.,El policía dijo que parecía tratarse de una herida auto-infligida a la cabeza.
The possibility that the explosion was caused by carelessness cannot be ruled out.,No puede descartarse la posibilidad de que la explosión haya sido causada por negligencia.
Tom and Mary talked about everything they wanted to do on their upcoming vacation.,Tom y Mary hablaron sobre todo lo que querían hacer en sus próximas vacaciones.
Tom couldn't completely rule out the possibility that he was going to get drafted.,Tom no podía descartar del todo la posibilidad de que resultar reclutado.
Tom couldn't think of Mary without remembering how painful their breakup had been.,Tom no podía pensar en Mary sin recordar lo dolorosa que había sido su ruptura.
Tom didn't buy anything at that store because he thought the prices were too high.,Tom no compró nada en esa tienda porque pensaba que los precios eran demasiado elevados.
"Tom hurt his left knee during practice, so John had to play the game in his place.","Tom se hizo daño en la rodilla izquierda entrenando, así que John tuvo que jugar en su lugar."
Tom is doing everything within his power to improve the patients' quality of life.,Tom está haciendo todo lo que puede para mejorar la calidad de vida de sus pacientes.
"Tom liked Mary for years, but at some point, his feelings for her changed to love.","A Tom le había gustado Mary desde hacía varios años, pero, en algún momento, sus sentimientos hacia ella se convirtieron en amor."
Tom said he thought that it would be a big mistake to tell Mary what had happened.,Tom dijo que pensaba que sería un gran error contarle a Mary lo que había pasado.
"Tom took thousands of pictures during his vacation, but then never looked at them.","Tom tomó miles de fotos durante sus vacaciones, pero nunca las miró."
Tom wants to buy an eight-track player to put in the car his grandmother gave him.,Tom quiere comprar un reproductor de ocho pistas para poner en el coche que le dio su abuela.
Tom wants to buy an eight-track player to put in the car his grandmother gave him.,Tom quiere comprar un reproductor de ocho pistas para poner en el auto que le regaló su abuela.
Tom was kidnapped and held by his captors in an abandoned building on Park Street.,Tom fue secuestrado y retenido por sus captores en un edificio abandonado en Park Street.
"When I visited their apartment, the couple was right in the middle of an argument.","Cuando visité su departamento, la pareja estaba justo en medio de una pelea."
"When I was 10 years old, I thought that when I would be 16, my life would be cool.",Cuando tenía diez años pensaba que mi vida sería buena onda cuando tuviera dieciséis años.
"Where did you go? ""I went to the station to say hi to a friend from out of town.""","¿Dónde has ido? ""He ido a la estación a saludar a un amigo de fuera."""
A man's worth should be judged by his character rather than by his social position.,"El valor de un hombre debería juzgarse por su carácter, no por su estatus social."
"As soon as I can get a decent video camera, I'll start making videos to put online.","Tan pronto consiga una videocámara decente, comenzaré a hacer vídeos para ponerlos en línea."
"At the time of the accident, almost all of the passengers on the bus were sleeping.","En el momento del accidente, casi todos los pasajeros del colectivo estaban durmiendo."
"Because the voices of protest grew louder and louder, his speech couldn't be heard.","Debido a que las voces de protesta cada vez eran más fuertes, su discurso no pudo ser oído."
"Cats are aloof, guinea pigs are nervous, and dogs need constant love and attention.","Los gatos son distantes, las cobayas son nerviosas y los perros necesitan cariño constante y atención."
Experts say coffee prices are rising mainly because people are willing to pay more.,Los expertos declaran que los precios del café están subiendo fundamentalmente porque la gente está dispuesta a pagar más.
"Generally speaking, college students have more free time than high school students.","Generalmente hablando, los estudiantes universitarios tienen más tiempo libre que los estudiantes de secundaria."
